,y
0,"Excellent for cooking whole chickens perfectly when traditional grilling is not possible or inconvenient. Features a collapsible design and the drip pan underneath catches any drippings making for an easy clean up, or to use for basting. Best for medium sized chickens so it properly fits inside the oven or grill."
1,These shoes are best fit and nice looking for parties or specially for wedding functions. The toe of the show can be a challenge for some feet and may make the feet sore due to the rim to keep the shape perfect. Overall price wise and looks are great and would recommend for long term use.
2,"This sound machine is the perfect size for traveling. It is quite compact, and it can be powered with the adapter or batteries. It offers a small variety of rain and other water effects, and will be loud enough for most people. If you have a larger room or a super noisy environment, the volume might not be high enough for you."
3,"These DVDs work well for the most part, although I did get some coasters. Some seem to work but become choppy about 30 minutes into the video. HP is still better than most other brands though. Take note that these are silver, not gold. Hopefully the vendor updates their images."
4,"This is a sturdy, durable backpack that's functional and comfortable. There's room for an SLR- sized camera, and also room for a few personal effects, although it does lack much room for extra equipment. Will work perfectly for a casual day trip."
5,"Perfect ice maker for camping or any large gathering. It makes large ice cubes quickly and is easy to use. It works as advertised and saves you from spending money on pre-made ice at the store. It's also well made and if well maintained, it will last for years. I highly recommend it."
6,"The covers are exactly what I have been looking for and they are not hard to install.The price that I paid for them was a steal, and the time frame for me receiving it was faster than I expected. I would give it 5 stars but  it takes a bit of effort to keep it on without slipping."
7,Buying a new dustbuster is unnecessary when in reality just cleaning or replacing the filters will do the job just fine. Amazon also provides added risk by recommending dustbusters that don't fit with certain filters.
8,"This teapot is cheaply made with a plastic handle, it's not true to color (dark blue instead of turquoise). The lid is really tight, adding to the frustration. Save yourself a return and look elsewhere for a better product."
9,Bought these for my 3 year old daughter for her classes and they turned out great and fit perfectly. She can pull them up to walk in then pull down to cover her toes for class. Strong tights that should last. You might need to buy a size up just for comfort around the waist.
10,"overall not recommended product. the tank top is smaller and shorter than expected, so keep that in mind and order a bigger size. the cut on the chest is too big as well. but the product is good if you are going to use it for layering."
11,"The steamer is ideal for making single servings of veggies. I am not able to use this to make large batches at once. It is easy and quick to clean. However, the product is very flimsy and it is easy to spill the food. Overall, I would not recommend this because of the mess that it makes."
12,The necklace is very unique and a great quality for the price. The charm isn't exactly what is pictured as far as size goes but still very beautiful. The chain is a bit thin but seems to have good durability. Overall I would recommend this to anyone looking to add a beautiful piece to their jewelry collection.
13,The utensil crock Le Creuset is a perfect fit for any kitchen. You will love the color and the space to hold many kitchen tools. It takes smaller space but give you bigger space to store key utensils at one spot. Definitely recommend this Simply beautiful and reliable product.
14,this product is good alternative to deodorants. Crystal lasts a long time. the major drawback is that it is somewhat easy to drop the product and it shatters very easily. overall the product withstood the test of time
15,"This stuff works, fantastic product. I used to doubt it at first when I heard about it, but now I believe in this product. It is still working after purchase about a year ago. It's cheap, keeps me smelling good and doesn't irritate my skin. It can be difficult to hold on to and slippery, but It is money well spent. I highly recommend it."
16,"This product has been helpful for my everyday aches and pains. I found that I can easily mix it into my morning smoothies, juice or even plain almond milk without any weird taste or fizzing. The product came very well packaged and I love the resealable bag for easy storage.All in all a great product."
17,"This ice machine is pretty much perfect for any environment. We've had it sitting outside all day in the heat during parties and we've taken it along in our RV for ice at the campsite. It makes nice large ice cubes 24/7. It's so simple to use that my young kids usually take care of it, and it's easy to clean, too. If you do a lot of entertaining or camping, you can't go wrong with this ice machine."
18,"This medicine works really well on cruises and for roller-coaster rides. You could take a week long trip on a boat and still not get sick. The tablets are chewable or can dissolve in the mouth,  and unlike Dramamine they don't cause drowsiness."
19,"This acupressure mat can help ease aches and tension, increase blood circulation to extremities, and aid in general relaxation and restfulness. It can also assist in healing, as it reduces movement while sleeping. However, it takes some getting used to, and being unable to relax while using it will make it ineffective."
20,"The color is great. It works fine as a teapot, but the handle is plastic, so it can't withstand high temperatures. I had difficulty removing the lid, but got better after some days. I'm quite happy with it though."
21,"This steamer is an excellent product. It does wonderful when cooking rice, boiling eggs, steaming vegetables and more! It makes clean up a breeze and even has a handy screen for putting seasoning in what your cooking. Definitley a nice addition to any kitchen!"
22,"These are lightweight, durable and supportive shoes. They look great and the cushion is quite comfortable. They are perfect for people who have to stand on their feet all day. They feel lightweight on the foot and are great for people with regular sized foot. However, they may not work for someone with very wide feet. Overall, I would recommend these to anyone who needs a supportive comfortable shoe."
23,This plate is plastic and comes with mounting screws. The screws are a bit stripped and difficult to work with but this product is a good deal cheaper than those at local stores. It leaves a gap between the plate and the wall but overall it looks good. You could use different screws other than what comes with this plate.
24,"These boots run fairly true-to-size, but they aren't super easy to get on at first. They're comfortable, but a short break-in period is needed, at least in my experience. They look great on and they're very durable, but they are not the lightest boots you can wear. As long as you aren't expecting feather light footwear, this shouldn't be a problem. They are a nice blend of function and fashion and that's not always easy to find in boots."
25,"The NuGo bar is very good and tastes better than you would expect and nutrition bar to taste.They have a texture similar to rice krispy treats. There's a good chance your family members will love them too. At only 170 calories you get a delicious snack and something with good nutritional value. They may be a little hard to find if looking in stores but can be ordered form Amazon. Overall, the NuGo bar is a great recommendation."
26,"This is a great product. It has amazing sound quality, and the dual-band feature is nice. I love the fact that it charges my device while it's docked. Not only is this thing functional, but it also looks great and doesn't take up a lot of space. Overall, I would advise buying this if your needs call for an awesome speaker that doubles as a charging station."
27,"Great fast amazon shipping. This shoe is very chic, classic and with a rich color that blends with almost any navy blue colored outfit. I love the look of the shoes and would be forever special to me. There is a rim inside the topmost part of the shoes that could cause blister to my toes."
28,"the product is very easy to assemble. the size and colors are nice, fit in a small room. the major drawback of the product is that it often comes damaged, probably when shipping. Scratches, broken parts, even completely unusable sets are common."
29,"The charger gets very hot with use, which can be quite concerning. The fit into the laptop is often loose, which makes it unreliable. Some items delivered didn't resemble the photo online. Overall, it would be best to avoid this product and buy direct from the manufacturer."
30,"This is an excellent product! Just as advertised, it eliminates foot odor and on top of that the insole is so thin it can be used in multiple types of shoes including heels. Very comfortable and well worth the price to have soft odor free feet after wearing shoes!"
31,"This tablet has numerous reliability issues. The likelihood of it malfunctioning after a month or less of normal usage is high, assuming it's not dead on arrival. Even considering the cheap price, it's still not worth the money."
32,The solar charger is good fit for travel bag. The LED light is one of the best function of this charger as its very bright. Though will recommend this charger to charge the cell phones only as it does not have capacity to charge other devices such as Tablets.
33,"These magnetic eyeware retainers attach firmly to your clothes and keep your glasses within reach when you're not wearing them. Though they normally keep a strong grip, it is possible in some circumstances for your glasses to fall out. Also, I am unsure if the product will last very long."
34,"This tablet is not worth the money, no matter what they are charging for it. It is of very poor quality and stops working after a very short time. It is especially prone to battery malfunction. Worse, the customer service from the manufacturer is almost nonexistent and it is difficult to return. Don't waste your money."
35,Save yourself the money and use this battery to replace your alarm system battery yourself. Calling the home alarm system company to replace the battery costs way mire than just doing this yourself. This battery holds a fantastic charge and replacement is not difficult at all.
36,"These shoes are lightweight, comfortable, have plenty of support, and are slip resistant. They're great for walking and working, and they look quite nice as well. The only issue is that their size measurements seem inaccurate. You may end up needing to get a size that is either smaller or larger than what you normally get."
37,"The suit fits ok on me, it is good around the waist but tight in the legs/thighs. I will probably return this and move up a size, it's easier to use the drawstring on the waist than deal with a swimsuit strangling my thighs. Consider a larger size than normal if you have large thighs."
38,This butane conversion allows for the case of a classic Zippo to clean burning butane lighter. It allows for flame height adjustments and holds its flame well. It is a durable and reliable product that holds up well to wear and use. While this is not a licensed Zippo product it is important to note that its fit is not guaranteed.
39,"This Thomas the Tank Engine Halloween costume looks very cute, and fits well for children around two to five years old. It comes with a large, built-in pouch for hands-free candy hauling. The only potential issue is the fabric seems a bit thin and flimsy. Nonetheless, I would recommend this."
40,Nice boots but run a bit narrow. They look great but I think the quality has come down over the years. Still comfortable but I wish they broke in easier. I recommend these for any lady who is patient and looking for comfort.
41,"These intercoms are not worth the buy. Getting these set up is quite the hassle and the instruction manual is not much aid. The worst part is that the sound quality is very poor. This may have some use if a simple message is to be sent. Otherwise, don't waste your money."
42,"I love these Dansko Tasha sandals! They are comfortable and the style is really cute. The only warning I have is that they seem to run narrow: you may want to buy a larger size if you have wide feet. Also, they seem to stretch as you wear them, so don't get discouraged by a few blisters on first wearing."
43,"The poster is a little outdated because it still lists Pluto as a planet, but it is a beautiful poster. There are some concerns regarding the quality of the shipping as there was the issue of it not being laminated and also having wrinkles."
44,"This product is of very poor quality. This charger is not reliable. It gets very hot and is loud and may ruin your device. It does not look the product in the description and customer service is not quick to help. Overall, I definitely do not recommend this product."
45,These soft gel capsule are not like ordinary Fish Oil capsules. If you do not like the fish oil smell in your burps these soft gels are perfect fit. This is burp-less version and will not bother your breathing with any smell or any burps. The price is definitely worth the quality of the product.
46,"Easy, convenient way to prevent humidity and moisture in small areas and containers such as safes, cabinets, jewelry boxes, and more. Features a color indicator to notify you when the pack has reached capacity. Easy to recharge by placing inside of an oven to dry the crystals out again. Doesn't work well in large areas, even with multiple packages."
47,"The Acupressure mat is great for helping to relax. It takes a little bit of time to try it but once it works it works well. The mat helps with pain and pressure and is great to lay on, it is great for falling asleep on. Also it is great for blood circulation and for walking on bare feet."
48,"I love these sandals, Dansko has made a really great product! I had to return my first pair (39) for being a bit tight and small, but I went a size higher (40) and it is perfect, they are so comfortable! If they do stretch out like other reviews say, they will still fit and look great."
49,"A great all-around, sturdy stick for cameras. It is very versatile and quite ideal for lightweight cameras especially, and this stick is highly recommended for its great price-point and overall versatility."
50,"These transition tights are perfect for children sensitive to the tight sensation other tights have around the foot. The material is soft and durable; they stand up well to both the rough nature of children, and the washing machine. This product does tend to run slightly small, so purchasing one size up is recommended."
51,"The suit tends to run a bit small as the fitting in the waist was adequate but it was tight in the thighs. After heavy use the seams tend to loosen up and even loose the elasticity over time. Overall it's a nice suit, has a nice feel, and is nicely constructed."
52,"Bonine tablets are an excellent choice for preventing motion sickness. They effectively prevent motion sickness from cars, boats, and amusement park rides. A bonus: the chewable tablets do not cause drowsiness."
53,"I bought this fan to keep right next to me when I'm working at my desk or reading, and for this purpose, it works great. There's plenty of airflow for a personal fan, but if you are trying to cool a room, this is not a good option. The air only comes out one side for some reason, so I do need to angle it appropriately. It also does not oscillate, but I knew that it didn't have that feature when I ordered it. It's a bit noisy, so probably not ideal for a super quiet office environment."
54,The product is easy to use. It converted to digital format my slide and photo negatives. Very efficient and user friendly tool. It is mostly compatible for Windows Xp. The product is not recommended for today's market.
55,"The tablets provide a good pump when they actually decide to stay tablets. They tend to seemingly break apart in the container, just leaving powder behind. It is at a great price, at least."
56,"I love this bag,  purchase it a month ago, it was shipped quickly. It is well designed, comfortable to wear with a durable material. The tripod and the cleaning kits are great. I recommend this model and would buy it again. It's worth the money."
57,"amazing product, single use toilet cleaners do a great job. they keep toilet sanitary and cleaning process is mess free. a lot better than reusable brushes. But the might be discontinued, so stock up while you still can. would not want to use anything else after i tried this product."
58,"These magnets are not strong enough to hold the kids of things I might use a magnetic hook to hold, such as keys, oven mitts, or picture frames. I had to use several at a time to hold up even light objects. Otherwise, the objects tend to slide down the fridge."
59,"Economically priced with long lasting results and truth that a little goes a long way, this crystal rock deodorant is a great deal. Users are pleased with the crystals ability to eliminate body odor even for heavy perspirers. Recommended for those who want to get away from the traditional stick, though be careful for if dropped it will shatter so also may be best purchased in-store versus ordering online."
60,"I love using these for cleaning my toilet they are easy to use, work really well and very good for scrubbing. Once used up you can dispose off it easily, does the job very well, good buy."
61,"I found this fish oil very good, and i don't like fish. the burps are present but less than other fish oil products. soft gel structure doesn't leave fishy aftertaste. I am pleased with the product."
62,"I love these shoes! They give me great arch support and are very well-made. They fit pretty true to size, but make sure you utilize the sizing chart listed. They are perfect for my daily walk. I love the color. I did get a blister the first time I wore them, but that always happens to me. They just need to be broken in. Now they are the most comfortable shoes I have ever had."
63,"It's a great deal, also easy to use and to set up. It has a known GPS bug and may sometimes try to take you on a weird route. Not the latest technology, but have all the features I need. I would recommend this to anyone."
64,"Bonine helps with motion sickness from roller coasters, water, and car travel. They do not make me sleepy. The chewable tablet is easy to take and it does not taste bad. I was able to enjoy a cruise recently because I had these tablets. They worked as advertised and helped me a lot with my motion sickness."
65,"Awesome ice maker that is easy to use, makes ice quickly, and is much more reliable than most ice makers built into refrigerators. Works well for parties and entertaining, RV traveling, as well as to save money not needing to buy ice from the store. It will eventually pay for itself!"
66,"Very pretty shoes and nice quality. The shoes run a bit small, about half a size and there is a ridge in the shoe that rubs on your toe. Nice formal night shoe, not so much for every day."
67,This Thomas costume is really cute plus it is comfortable and fits well. My child liked that it has a pocket and a hat. It even has a candy catcher. This costume fits well for a two or three year old. The hat is thin but it is completes the costume. My child loved being Thomas.
68,"I love this tortilla maker. It's fun, easy to use and easy to clean up too. The machine performs same function as a 3000 dollar tortilla press but has no automatic operation. This product also have a good customer service as it replaced a defective one within a week."
69,"These tights are great. They are durable and do not tear easily, they can be worn and washed without worry. The bottoms of can be pulled up easily so that sandals can be worn with them. It might be a good idea to order a size bigger because they can be a little tight in the waist. Overall, these tights are definitely recommended."
70,"While it's not full proof, this spray is great at reducing the number of wrinkles in cotton and polyester materials. It's less effective on thicker materials. It's quick and easy to use, and it has a nice scent. It's a good thing to bring on vacation to freshen up packed clothes. Just be aware, the bottle is prone to leaking!"
71,"This stabilizer is perfect for light weight cameras and can also be used with a cell phone to help diminish jitter. You can feel the heft in this stabilizer and know that it will stay secure. It feels weighty and professional. I would say to use caution when using it with larger cameras but it is perfect for smaller cameras. Overall, it is recommended."
72,This suit is a good fit for me. It may fit tight on guys with large thighs. I like the feel of this suit and the style is good for anyone swimming as a workout or doing any real training. It may run a bit small though it does seem to stretch at the seams with use and wear.
73,"The CucinaPro Tortilla maker is worth the money. It's a bit tricky at first, but once you get the hang of it, you get fresh, homemade tortillas that taste great. It works just like the more expensive presses. Their customer service is fantastic, very helpful. I would recommend this to any home cook."
74,"This Le Creuset crock is sizable, able to hold over a dozen utensils, including ones with thick rubber handles. It will save drawer space, and be an attractive addition to any kitchen."
75,This necklace is a beautiful and unique piece to add to your own or a loved one's jewlery collection. The pendant is unique and the bail is a ring making this sterling silver necklace an elegant looking piece. It has a very strong chain also so it can be shown off and enjoyed for a long time.
76,"This battery is a good replacement for old or failing batteries in a home alarm system or computer. The battery works well and is a really good value for the money, compared with other brands with similar specs. I was especially pleased with the fast shipping from the seller."
77,"This heart rate monitor is very user friendly for beginners. Very easy to use straight out of the box. However, this product comes with an instruction booklet and internet instructions if you need help with initial set up. You can program your target heart rate and there is an audible beep when you are in or fall out of target range. Very easy to read display which can also has a backlight. The only drawback is the log will only store the last workout data. Overall a very nice beginner heart rate monitor."
78,"This is an awesome wrinkle release product, with a nice aroma. When applied, wrinkles disappear from your clothes. The package arrived in a bad condition, it's not perfect, but quite presentable. I love it."
79,These look very nice on. The mesh in them run a little tight though so you may want to go up in size. They are roomy in the pockets and can hold onto a lot of items. They are a great price for the quality and I would highly recommend them to anyone looking for a new pair of swim trunks.
80,"I seems that the VuPoint scanner seems like a good product but between the inconpatable software and trouble with placing the negatives in, many customers dont have the time and want instant results. i would give this scanner a good review if you cant afford a more high product. you wont get a better enhancement feature on a more higher end scanner. Give it a try or return it if you dont like it"
81,"This is a good battery that is easy to install and works as a replacement for failed batteries. The price is good and a much cheaper alternative to use as a replacement. While there are instances of DOA batteries, most experiences are positive. With a good price and easy installation this battery is recommended."
82,"This laptop cover slips on easily, but the loose fit can occasionally cause it to slip off as well. It comes with ergonomic tilt stands on the bottom, making long typing sessions more comfortable. It looks nice and has a good feel to it. Overall, I would recommend it."
83,"This sound system is worth the cost. The bass is so clear and loud, the stereo works fantastic and the range of sound adjustment is great. I had a problem setting the channel preset. Overall, it's a sweet deal."
84,"This is exactly what I've been looking for! It has great sound quality and it's really easy to dock my iPhone in it (it charges my phone at the same time! Bonus) The alarm is easy to use and does it's job. Some iPhones and iPods will need an adapter, so make sure to check that out first."
85,"This FM/AM radio, iPhone docking station and alarm clock is a perfect combination! The sound is amazing, the alarm clock is not annoying, and the design looks great! It would be nice to have a place to use an aux cord and certain apple products require a $5 adapter to use the docking station but other than that, this product is fantastic!"
86,"This is a wonderful bag for traveling, especially if you are a heavy packer. The many pockets will help keep you organized. I would not purchase this bag if you don't have very many items to carry around, as it may be too large. Overall it is great if you need a large traveling bag."
87,These hooks look good but looking good is about all they are good for. The magnets on these are tiny (about 1/4 of an inch) and they do not hold much of anything. If you are lucky they might hold a key chain but only if it has one or two keys on it and you have to hang it on the hook gently. These hooks can hardly even hold a pot holder. Definitely would not recommend this product if you are actually trying to hang something on them.
88,"This lived up to expectations after the product was featured on Shark Tank. The magnet is very strong, and will work anywhere on clothing. Glasses won't slip or fall. However, those with pacemakers should avoid due to the strong magnet. Overall, recommend."
89,"The picture size is perfect, and the quality is great. It's a wonderful tool for teaching a child about the solar system. There is an educational summary for every planet. However, it is slightly dated since Pluto is still included, but you can just tell your child Pluto retired from its position as a planet. It's also not laminated, but we put it in a frame and it looks really nice on the wall."
90,"When I ordered this, I didn't know what to expect. I'm pleasantly surprised. It's plastic, but very convenient and the unit fits very well into my Zippo case. You can fine tune your preference as the torch adjusts very nicely. It works great. I also had issues with closing the cap of Zippo."
91,"This mount is cheap, installs easily, and works well for most applications. It looks good, and the plastic is sturdy. However, the included screws are of suspect quality and may need to be replaced, and the back plate doesn't fit snugly against the wall. Overall, good for the price."
92,"These White Mountain sandals look very nice, people will take notice of them. They are comfortable but it may take some time for your foot to adjust to them. The softness can help with your back and arch support. They also hold up to extend use fairly well. Recommended for the right person."
93,"The lightweight, quiet and easy to use Miele vacuum is a great and favorable against other competitors Vacuum's such as Dyson. The Miele has filters that help with eliminating allergens from the air. One thing regarding the bag replacements is that they can be a little pricey. Overall the Miele vacuum is recommended."
94,"the chicken roaster is a good product. makes delicious chicken, has a way to put a beer can in to produce a good crunchy crust. is a little small if you are used making a big chicken, also need to keep in mind that roaster adds to the size, so it might be too big for the over or the grill."
95,"When my bottle arrived, it had leaked a bit in the bag, but I still had about 3/4 to use. It smells amazing! I have always really hated ironing, so it's a good substitute for that, but only on my shirts. Any work pants that have wrinkles, I still have to turn on the iron. However, it really seems to reduce static when ironing, so it's still handy that way! Overall it's not as great as advertised, but it's still pretty useful. Order with caution though, leakage seems to be a common occurrence."
96,This charger gets very hot very fast and it seems a bit dangerous. It has to be lined up a certain way to work. The charger makes a bit of noise. Customer service was not helpful. A cooling device may help with the heat but this product should be used with caution. It is an affordable option.
97,This case was easy to attach. The retractable feet that makes this a stand are really cool. The color is nice and you can see the apple logo through the case. The keyboard cover is very handy and this product feels sturdy. My case arrived very quickly. Good customer service!
98,"Buying it at MSRP is ridiculous and in fairness, buying it at a discount presents a huge risk as well. The charging is spotty at best and the battery itself presents a lot of risks. Avoid it until they start caring about the quality."
99,"The Oxo Good Grips Julienne peeler is very handy, comfortable, and works great. It's a fair price and cuts well. But it's very sharp, so be careful when handling it. You may have to stop slicing occasionally to clear out the blade if the veggies get stuck, but overall, it's very easy to use and to clean."
100,"These sandals are beautiful, fun, festive, and come in a variety of colors. They are light weight, comfortable sandals with great arch support, but run a little small, so buy the next size larger for a good fit."
101,I like this camera for its picture taking and size. Takes professional photos and it is very easy to use. It's low light feature is outstanding and helpful in venues that flashes are not allowed. I love this camera.
102,"This camera bag, constructed as a backpack with padded straps and back is functional and comfortable to wear as well. It is roomy enough for the camera plus several accessories, and also has enough space for extras. It is well designed and made of durable materials. I would recommend this camera bag to most people, although some users with a lot of accessories may need more space."
103,"This fan is a great size as it doesn't take up too much space. However, the airflow doesn't come out from the middle rather it comes out from the sides. Because of this, you have to play with the position to get the benefits of the cooling aspect. I would not recommend this for daily use."
104,"This is a cheap fan that doesn't work well. Air only comes out of one side, instead of out the front, and is very weak. You can't use oscillate if you wan't to feel any blowing air. I don't recommend this fan. Spend a little more money and get one that is much better."
105,"Great tank top to wear under my other shirts as I liking layering and the material has a good feel. There was a good choice of colors to pick from. Although, the top is a thin material I don't mind since I wear it under something else."
106,"This sound machine is small, battery powered, and compact. It does not come with a power adapter, so be prepared with batteries wherever you plan to use it. There is only one sound programmed into the machine â€“ a sound mixture of rain and water. This is great to aid sleep, relaxation in the office, or nurseries."
107,This is a very nice and roomy steamer. It has plenty of space to steam multiple items or even just one. It is on the larger side so it is hard to store when not in use. All the food that is steamed in it comes out perfect and clean up is easy. i would recommend this to anyone.
